code,image_path,source_pdf,page,match_type,confidence,notes
CL0-050,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-050.png,dors-listino-260401.pdf,48,direct_single_column,high,direct code-under-drawing crop
CL0-060,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-060.png,dors-listino-260401.pdf,48,direct_single_column,high,direct code-under-drawing crop
CL0-070,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-070.png,dors-listino-260401.pdf,48,direct_single_column,high,direct code-under-drawing crop
CL0-080,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-080.png,dors-listino-260401.pdf,48,direct_single_column,high,direct code-under-drawing crop
CL0-090,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-090.png,dors-listino-260401.pdf,49,direct_single_column,high,direct code-under-drawing crop
CL0-100,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-100.png,dors-listino-260401.pdf,49,direct_single_column,high,direct code-under-drawing crop
CL0-110,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-110.png,dors-listino-260401.pdf,49,direct_single_column,high,direct code-under-drawing crop
CL0-120,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-120.png,dors-listino-260401.pdf,49,direct_single_column,high,direct code-under-drawing crop
CL0-130,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-130.png,dors-listino-260401.pdf,50,direct_single_column,high,direct code-under-drawing crop
CL0-140,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-140.png,dors-listino-260401.pdf,50,direct_single_column,high,direct code-under-drawing crop
CL0-150,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-150.png,dors-listino-260401.pdf,50,direct_single_column,high,direct code-under-drawing crop
CL0-160,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-160.png,dors-listino-260401.pdf,50,direct_single_column,high,direct code-under-drawing crop
CL0-170,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-170.png,dors-listino-260401.pdf,51,direct_single_column,high,direct code-under-drawing crop
CL0-180,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CL0-180.png,dors-listino-260401.pdf,51,direct_single_column,high,direct code-under-drawing crop
CP0-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-010.png,dors-listino-260401.pdf,53,direct_single_column,high,direct code-under-drawing crop
CP0-020,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-020.png,dors-listino-260401.pdf,53,direct_single_column,high,direct code-under-drawing crop
CP0-030,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-030.png,dors-listino-260401.pdf,53,direct_single_column,high,direct code-under-drawing crop
CP0-040,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-040.png,dors-listino-260401.pdf,53,direct_single_column,high,direct code-under-drawing crop
CP0-050,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-050.png,dors-listino-260401.pdf,54,direct_single_column,high,direct code-under-drawing crop
CP0-060,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-060.png,dors-listino-260401.pdf,54,direct_single_column,high,direct code-under-drawing crop
CP0-070,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-070.png,dors-listino-260401.pdf,54,direct_single_column,high,direct code-under-drawing crop
CP0-080,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-080.png,dors-listino-260401.pdf,54,direct_single_column,high,direct code-under-drawing crop
CP0-090,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-090.png,dors-listino-260401.pdf,55,direct_single_column,high,direct code-under-drawing crop
CP0-100,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/CP0-100.png,dors-listino-260401.pdf,55,direct_single_column,high,direct code-under-drawing crop
